pair_id,crop,member_a,member_b,n_imgs_total,lookalike_prior,web_checked,web_verified,confirmed,clip_scored,matched_cross_knn,clip_lane_hint,needs_web
juniper__kabatina-blight__phomopsis-cankers-and-twig-blights,Juniper,Kabatina Blight,Phomopsis Cankers And Twig Blights,36,6.1,True,True,True,True,0.2812,image_ambiguous,False
balsam-fir__fir-fern-rust__rhizosphaera-needle-cast,Balsam Fir,Fir-Fern Rust,Rhizosphaera Needle Cast,29,6.1,True,False,False,True,0.2222,image_ambiguous,False
melon__cucurbit-downy-mildew__monosporascus-root-rot,Melon,Cucurbit Downy Mildew,Monosporascus Root Rot,72,6.0,True,False,False,True,0.1034,image_decisive,False
tomato__early-blight__late-blight,Tomato,Early Blight,Late Blight,167,5.6,True,True,True,True,0.0794,image_decisive,False
tomato__early-blight__tomato-leaf-mould,Tomato,Early Blight,Tomato Leaf Mould,87,5.5,True,True,True,True,0.1142,image_decisive,False
wheat__powdery-mildew__stripe-rust,Wheat,Powdery Mildew,Stripe Rust,78,5.5,True,True,True,True,0.1667,image_decisive,False
tomato__early-blight__septoria-leaf-spot,Tomato,Early Blight,Septoria Leaf Spot,73,5.4,True,True,True,True,0.1604,image_decisive,False
tomato__late-blight__septoria-leaf-spot,Tomato,Late Blight,Septoria Leaf Spot,144,5.4,True,False,False,True,0.1087,image_decisive,False
tomato__late-blight__tomato-leaf-mould,Tomato,Late Blight,Tomato Leaf Mould,158,5.4,True,True,True,True,0.0,image_decisive,False
tomato__septoria-leaf-spot__tomato-leaf-mould,Tomato,Septoria Leaf Spot,Tomato Leaf Mould,64,5.4,True,False,False,True,0.2334,image_ambiguous,False
wheat__fusarium-graminearum-schwabe__stripe-rust,Wheat,Fusarium Graminearum Schwabe,Stripe Rust,70,5.4,True,False,False,True,0.0609,image_decisive,False
wheat__fusarium-graminearum-schwabe__wheat-stem-rust,Wheat,Fusarium Graminearum Schwabe,Wheat Stem Rust,48,5.4,True,False,False,True,0.1215,image_decisive,False
wheat__fusarium-graminearum-schwabe__zymoseptoria-tritici,Wheat,Fusarium Graminearum Schwabe,Zymoseptoria Tritici,83,5.4,True,True,True,True,0.0806,image_decisive,False
wheat__stripe-rust__zymoseptoria-tritici,Wheat,Stripe Rust,Zymoseptoria Tritici,87,5.4,True,False,False,True,0.1162,image_decisive,False
tomato__anthracnose__early-blight,Tomato,Anthracnose,Early Blight,61,5.3,True,False,False,True,0.0769,image_decisive,False
tomato__early-blight__gray-mold,Tomato,Early Blight,Gray Mold,70,5.3,True,False,False,True,0.1085,image_decisive,False
soybean__cercospora-blight__downy-mildew,Soybean,Cercospora Blight,Downy Mildew,89,5.3,True,False,False,True,0.0343,image_decisive,False
watermelon__bacterial-fruit-blotch__gummy-stem-blight,Watermelon,Bacterial Fruit Blotch,Gummy Stem Blight,148,5.3,True,True,True,True,0.0189,image_decisive,False
lettuce__downy-mildew__sclerotinia-timber-rot,Lettuce,Downy Mildew,Sclerotinia Timber Rot,206,5.3,True,False,False,True,0.0166,image_decisive,False
corn__common-corn-rust__corn-smut,Corn,Common Corn Rust,Corn Smut,75,5.3,True,False,False,True,0.069,image_decisive,False
corn__corn-smut__white-ear-rot-and-seedling-blight-of-maize,Corn,Corn Smut,White Ear Rot And Seedling Blight Of Maize,87,5.3,True,False,False,True,0.0798,image_decisive,False
wheat__fusarium-graminearum-schwabe__tan-spot,Wheat,Fusarium Graminearum Schwabe,Tan Spot,53,5.3,True,False,False,True,0.1353,image_decisive,False
wheat__fusarium-graminearum-schwabe__wheat-leaf-rust,Wheat,Fusarium Graminearum Schwabe,Wheat Leaf Rust,59,5.3,True,False,False,True,0.1191,image_decisive,False
wheat__powdery-mildew__tan-spot,Wheat,Powdery Mildew,Tan Spot,61,5.3,True,False,False,True,0.1556,image_decisive,False
wheat__stripe-rust__tan-spot,Wheat,Stripe Rust,Tan Spot,57,5.3,True,False,False,True,0.1902,image_decisive,False
wheat__stripe-rust__wheat-leaf-rust,Wheat,Stripe Rust,Wheat Leaf Rust,63,5.3,True,True,True,True,0.2251,image_ambiguous,False
tomato__anthracnose__late-blight,Tomato,Anthracnose,Late Blight,132,5.2,True,False,False,False,,,False
tomato__anthracnose__tomato-leaf-mould,Tomato,Anthracnose,Tomato Leaf Mould,52,5.2,True,True,True,True,0.0968,image_decisive,False
tomato__gray-mold__tomato-leaf-mould,Tomato,Gray Mold,Tomato Leaf Mould,61,5.2,True,True,True,True,0.1315,image_decisive,False
soybean__cercospora-blight__soybean-rust,Soybean,Cercospora Blight,Soybean Rust,86,5.2,True,False,False,True,0.0,image_decisive,False
strawberry__anthracnose__gray-mold,Strawberry,Anthracnose,Gray Mold,104,5.2,True,True,True,True,0.0653,image_decisive,False
strawberry__anthracnose__ramularia-grevilleana-verkley---u--braun,Strawberry,Anthracnose,Ramularia Grevilleana Verkley & U. Braun,119,5.2,True,False,False,True,0.0505,image_decisive,False
watermelon__anthracnose__bacterial-fruit-blotch,Watermelon,Anthracnose,Bacterial Fruit Blotch,136,5.2,True,True,True,True,0.037,image_decisive,False
watermelon__bacterial-fruit-blotch__phytophthora-blight,Watermelon,Bacterial Fruit Blotch,Phytophthora Blight,211,5.2,True,True,True,True,0.1571,image_decisive,False
lettuce__downy-mildew__rhizoctonia-damping-off--blight-and-rot,Lettuce,Downy Mildew,"Rhizoctonia Damping-Off, Blight And Rot",79,5.2,True,False,False,True,0.0714,image_decisive,False
lettuce__rhizoctonia-damping-off--blight-and-rot__sclerotinia-timber-rot,Lettuce,"Rhizoctonia Damping-Off, Blight And Rot",Sclerotinia Timber Rot,151,5.2,True,False,False,False,,,False
corn__common-corn-rust__white-ear-rot-and-seedling-blight-of-maize,Corn,Common Corn Rust,White Ear Rot And Seedling Blight Of Maize,40,5.2,True,False,False,True,0.0857,image_decisive,False
grape__black-rot__downy-mildew,Grape,Black Rot,Downy Mildew,70,5.2,True,False,False,True,0.0858,image_decisive,False
sweet-potato__bread-mold__rhizopus-soft-rots,Sweet Potato,Bread Mold,Rhizopus Soft Rots,82,5.2,True,True,True,True,0.172,image_decisive,False
cucumber__anthracnose__phytophthora-blight,Cucumber,Anthracnose,Phytophthora Blight,202,5.2,True,True,True,True,0.0909,image_decisive,False
cucumber__cucurbit-downy-mildew__pythium-diseases,Cucumber,Cucurbit Downy Mildew,Pythium Diseases,307,5.2,True,False,False,True,0.0444,image_decisive,False
wheat__fusarium-graminearum-schwabe__powdery-mildew,Wheat,Fusarium Graminearum Schwabe,Powdery Mildew,74,5.2,True,False,False,True,0.1087,image_decisive,False
wheat__loose-smut-of-wheat-or-barley__zymoseptoria-tritici,Wheat,Loose Smut Of Wheat Or Barley,Zymoseptoria Tritici,71,5.2,True,False,False,True,0.1154,image_decisive,False
wheat__parastagonospora-nodorum__stripe-rust,Wheat,Parastagonospora Nodorum,Stripe Rust,54,5.2,True,False,False,True,0.0593,image_decisive,False
wheat__parastagonospora-nodorum__zymoseptoria-tritici,Wheat,Parastagonospora Nodorum,Zymoseptoria Tritici,67,5.2,True,True,True,True,0.1258,image_decisive,False
wheat__stripe-rust__wheat-stem-rust,Wheat,Stripe Rust,Wheat Stem Rust,52,5.2,True,False,False,True,0.0916,image_decisive,False
wheat__tan-spot__wheat-leaf-rust,Wheat,Tan Spot,Wheat Leaf Rust,46,5.2,True,False,False,True,0.2583,image_ambiguous,False
wheat__tan-spot__wheat-stem-rust,Wheat,Tan Spot,Wheat Stem Rust,35,5.2,True,False,False,True,0.1468,image_decisive,False
wheat__wheat-leaf-rust__wheat-stem-rust,Wheat,Wheat Leaf Rust,Wheat Stem Rust,41,5.2,True,True,True,True,0.1476,image_decisive,False
wheat__wheat-stem-rust__zymoseptoria-tritici,Wheat,Wheat Stem Rust,Zymoseptoria Tritici,65,5.2,True,False,False,True,0.0423,image_decisive,False
gourd__phytophthora-blight__powdery-mildew,Gourd,Phytophthora Blight,Powdery Mildew,40,5.2,True,False,False,True,0.1933,image_decisive,False
douglas-fir__rhabdocline-needlecasts__swiss-needle-cast,Douglas-Fir,Rhabdocline Needlecasts,Swiss Needle Cast,30,5.2,True,True,True,True,0.0,image_decisive,False
tomato__anthracnose__gray-mold,Tomato,Anthracnose,Gray Mold,35,5.1,True,False,False,True,0.0476,image_decisive,False
tomato__anthracnose__rhizopus-soft-rots,Tomato,Anthracnose,Rhizopus Soft Rots,28,5.1,True,False,False,True,0.0,image_decisive,False
tomato__early-blight__rhizopus-soft-rots,Tomato,Early Blight,Rhizopus Soft Rots,63,5.1,True,False,False,True,0.2143,image_ambiguous,False
tomato__gray-mold__late-blight,Tomato,Gray Mold,Late Blight,141,5.1,True,True,True,True,0.08,image_decisive,False
tomato__gray-mold__rhizopus-soft-rots,Tomato,Gray Mold,Rhizopus Soft Rots,37,5.1,True,True,True,True,0.087,image_decisive,False
tomato__gray-mold__septoria-leaf-spot,Tomato,Gray Mold,Septoria Leaf Spot,47,5.1,True,False,False,True,0.1712,image_decisive,False
tomato__rhizopus-soft-rots__septoria-leaf-spot,Tomato,Rhizopus Soft Rots,Septoria Leaf Spot,40,5.1,True,False,False,True,0.0333,image_decisive,False
tomato__rhizopus-soft-rots__tomato-leaf-mould,Tomato,Rhizopus Soft Rots,Tomato Leaf Mould,54,5.1,True,False,False,True,0.0303,image_decisive,False
soybean__downy-mildew__soybean-rust,Soybean,Downy Mildew,Soybean Rust,67,5.1,True,True,True,True,0.0727,image_decisive,False
strawberry__anthracnose__phomopsis-leaf-blight-and-fruit-rot,Strawberry,Anthracnose,Phomopsis Leaf Blight And Fruit Rot,102,5.1,True,True,True,True,0.0634,image_decisive,False
strawberry__phomopsis-leaf-blight-and-fruit-rot__ramularia-grevilleana-verkley---u--braun,Strawberry,Phomopsis Leaf Blight And Fruit Rot,Ramularia Grevilleana Verkley & U. Braun,45,5.1,True,True,True,True,0.3021,image_ambiguous,False
melon__anthracnose__fusarium-wilts--blights--rots-and-damping-off,Melon,Anthracnose,"Fusarium Wilts, Blights, Rots And Damping-Off",39,5.1,True,False,False,True,0.0417,image_decisive,False
melon__anthracnose__gummy-stem-blight,Melon,Anthracnose,Gummy Stem Blight,76,5.1,True,True,True,True,0.1179,image_decisive,False
melon__anthracnose__sour-rot,Melon,Anthracnose,Sour Rot,54,5.1,True,False,False,True,0.0,image_decisive,False
melon__fusarium-wilts--blights--rots-and-damping-off__sour-rot,Melon,"Fusarium Wilts, Blights, Rots And Damping-Off",Sour Rot,39,5.1,True,False,False,True,0.0697,image_decisive,False
melon__monosporascus-root-rot__powdery-mildew,Melon,Monosporascus Root Rot,Powdery Mildew,58,5.1,True,False,False,True,0.0,image_decisive,False
rhododendrons-and-azaleas__guignardia-blotch__pestalotiopsis-leaf-spot,Rhododendrons And Azaleas,Guignardia Blotch,Pestalotiopsis Leaf Spot,28,5.1,True,False,False,True,0.08,image_decisive,False
oak__anthracnose__coryneum-twig-blight,Oak,Anthracnose,Coryneum Twig Blight,24,5.1,True,False,False,True,0.05,image_decisive,False
oak__anthracnose__leaf-spot,Oak,Anthracnose,Leaf Spot,25,5.1,True,True,True,True,0.0952,image_decisive,False
oak__anthracnose__oak-wilt,Oak,Anthracnose,Oak Wilt,35,5.1,True,True,True,True,0.0714,image_decisive,False
oak__botryosphaeria-rots-and-cankers__coryneum-twig-blight,Oak,Botryosphaeria Rots And Cankers,Coryneum Twig Blight,42,5.1,True,False,False,True,0.1,image_decisive,False
oak__botryosphaeria-rots-and-cankers__nectria-canker,Oak,Botryosphaeria Rots And Cankers,Nectria Canker,44,5.1,True,False,False,True,0.119,image_decisive,False
oak__coryneum-twig-blight__leaf-spot,Oak,Coryneum Twig Blight,Leaf Spot,25,5.1,True,False,False,True,0.1304,image_decisive,False
squash__anthracnose__powdery-mildew,Squash,Anthracnose,Powdery Mildew,72,5.1,True,False,False,True,0.1,image_decisive,False
squash__cucurbit-downy-mildew__gummy-stem-blight,Squash,Cucurbit Downy Mildew,Gummy Stem Blight,102,5.1,True,True,True,False,,,False
squash__gummy-stem-blight__phytophthora-blight,Squash,Gummy Stem Blight,Phytophthora Blight,269,5.1,True,True,True,False,,,False
squash__gummy-stem-blight__powdery-mildew,Squash,Gummy Stem Blight,Powdery Mildew,57,5.1,True,False,False,True,0.0,image_decisive,False
squash__gummy-stem-blight__southern-blight,Squash,Gummy Stem Blight,Southern Blight,28,5.1,True,False,False,True,0.0385,image_decisive,False
watermelon__bacterial-fruit-blotch__cucurbit-downy-mildew,Watermelon,Bacterial Fruit Blotch,Cucurbit Downy Mildew,104,5.1,True,False,False,True,0.0,image_decisive,False
watermelon__gummy-stem-blight__powdery-mildew,Watermelon,Gummy Stem Blight,Powdery Mildew,135,5.1,True,False,False,True,0.0385,image_decisive,False
watermelon__phytophthora-blight__powdery-mildew,Watermelon,Phytophthora Blight,Powdery Mildew,198,5.1,True,False,False,True,0.0204,image_decisive,False
lettuce__lettuce-chlorosis-virus__mirafiori-lettuce-big-vein-virus,Lettuce,Lettuce Chlorosis Virus,Mirafiori Lettuce Big-Vein Virus,41,5.1,True,False,False,True,0.0628,image_decisive,False
grape__black-rot__grape-anthracnose,Grape,Black Rot,Grape Anthracnose,49,5.1,True,True,True,True,0.0368,image_decisive,False
grape__downy-mildew__grape-anthracnose,Grape,Downy Mildew,Grape Anthracnose,45,5.1,True,False,False,True,0.1327,image_decisive,False
sweet-potato__bacteria-wilt-and-soft-rot__bread-mold,Sweet Potato,Bacteria Wilt And Soft Rot,Bread Mold,88,5.1,True,False,False,True,0.0667,image_decisive,False
sweet-potato__bacteria-wilt-and-soft-rot__fusarium-lateritium-nees,Sweet Potato,Bacteria Wilt And Soft Rot,Fusarium Lateritium Nees,57,5.1,True,False,False,True,0.05,image_decisive,False
sweet-potato__bacteria-wilt-and-soft-rot__rhizopus-soft-rots,Sweet Potato,Bacteria Wilt And Soft Rot,Rhizopus Soft Rots,78,5.1,True,False,False,True,0.1111,image_decisive,False
sweet-potato__bread-mold__penicillium-fungi,Sweet Potato,Bread Mold,Penicillium Fungi,133,5.1,True,False,False,True,0.1156,image_decisive,False
sweet-potato__bread-mold__scurf,Sweet Potato,Bread Mold,Scurf,107,5.1,True,False,False,True,0.0816,image_decisive,False
sweet-potato__bread-mold__sour-rot,Sweet Potato,Bread Mold,Sour Rot,80,5.1,True,False,False,True,0.0653,image_decisive,False
sweet-potato__bread-mold__streptomyces-soil-rot,Sweet Potato,Bread Mold,Streptomyces Soil Rot,102,5.1,True,False,False,True,0.087,image_decisive,False
sweet-potato__penicillium-fungi__scurf,Sweet Potato,Penicillium Fungi,Scurf,148,5.1,True,False,False,True,0.0357,image_decisive,False
sweet-potato__sour-rot__streptomyces-soil-rot,Sweet Potato,Sour Rot,Streptomyces Soil Rot,90,5.1,True,False,False,True,0.0635,image_decisive,False
spinach__cladosporium-leaf-spot__downy-mildew,Spinach,Cladosporium Leaf Spot,Downy Mildew,60,5.1,True,False,False,True,0.0303,image_decisive,False
cucumber__anthracnose__gummy-stem-blight,Cucumber,Anthracnose,Gummy Stem Blight,151,5.1,True,True,True,True,0.2532,image_ambiguous,False
cucumber__corynespora-leaf-spot__gummy-stem-blight,Cucumber,Corynespora Leaf Spot,Gummy Stem Blight,58,5.1,True,False,False,True,0.141,image_decisive,False
cucumber__corynespora-leaf-spot__powdery-mildew,Cucumber,Corynespora Leaf Spot,Powdery Mildew,46,5.1,True,False,False,True,0.1813,image_decisive,False
cucumber__cucurbit-downy-mildew__gummy-stem-blight,Cucumber,Cucurbit Downy Mildew,Gummy Stem Blight,311,5.1,True,True,True,True,0.184,image_decisive,False
cucumber__gummy-stem-blight__powdery-mildew,Cucumber,Gummy Stem Blight,Powdery Mildew,40,5.1,True,False,False,True,0.1534,image_decisive,False
cucumber__phytophthora-blight__powdery-mildew,Cucumber,Phytophthora Blight,Powdery Mildew,91,5.1,True,False,False,True,0.0907,image_decisive,False
cucumber__phytophthora-blight__pythium-diseases,Cucumber,Phytophthora Blight,Pythium Diseases,99,5.1,True,True,True,True,0.1694,image_decisive,False
wheat__fusarium-graminearum-schwabe__parastagonospora-nodorum,Wheat,Fusarium Graminearum Schwabe,Parastagonospora Nodorum,50,5.1,True,True,True,True,0.1499,image_decisive,False
wheat__powdery-mildew__wheat-stem-rust,Wheat,Powdery Mildew,Wheat Stem Rust,56,5.1,True,False,False,True,0.1395,image_decisive,False
wheat__tan-spot__zymoseptoria-tritici,Wheat,Tan Spot,Zymoseptoria Tritici,70,5.1,True,True,True,True,0.2548,image_ambiguous,False
wheat__wheat-leaf-rust__zymoseptoria-tritici,Wheat,Wheat Leaf Rust,Zymoseptoria Tritici,76,5.1,True,False,False,True,0.1202,image_decisive,False
apple__apple-scab__cedar-apple-rust,Apple,Apple Scab,Cedar-Apple Rust,59,5.1,True,True,True,True,0.0498,image_decisive,False
apple__black-rot__cedar-apple-rust,Apple,Black Rot,Cedar-Apple Rust,34,5.1,True,False,False,True,0.0952,image_decisive,False
norway-maple__anthracnose__cristulariella-leaf-spot,Norway Maple,Anthracnose,Cristulariella Leaf Spot,32,5.1,True,False,False,True,0.1923,image_decisive,False
eastern-white-pine__needle-cast__stem-rot,Eastern White Pine,Needle Cast,Stem Rot,30,5.1,True,False,False,True,0.1,image_decisive,False
witch-hazel__gonatobotryum-fungus__phyllosticta-leaf-spots,Witch-Hazel,Gonatobotryum Fungus,Phyllosticta Leaf Spots,30,5.1,True,False,False,True,0.1481,image_decisive,False
plum-and-cherry__blumeriella-leaf-spot-of-cherry-and-plum__brown-rots,Plum and Cherry,Blumeriella Leaf Spot Of Cherry And Plum,Brown Rots,51,5.1,True,False,False,True,0.2602,image_ambiguous,False
blue-spruce__ceropsora-weirii__rhizosphaera-needle-cast,Blue Spruce,Ceropsora Weirii,Rhizosphaera Needle Cast,28,5.1,True,False,False,True,0.2144,image_ambiguous,False
blue-spruce__ceropsora-weirii__spruce-needle-rusts,Blue Spruce,Ceropsora Weirii,Spruce Needle Rusts,31,5.1,True,True,True,True,0.1154,image_decisive,False
common-lilac__anthracnose__cladosporium-fungi,Common Lilac,Anthracnose,Cladosporium Fungi,28,5.1,True,False,False,True,0.1304,image_decisive,False
highbush-blueberry__anthracnose__phomopsis-cankers-and-twig-blights,Highbush Blueberry,Anthracnose,Phomopsis Cankers And Twig Blights,34,5.1,True,True,True,True,0.1818,image_decisive,False
highbush-blueberry__blueberry-leaf-rust__phomopsis-cankers-and-twig-blights,Highbush Blueberry,Blueberry Leaf Rust,Phomopsis Cankers And Twig Blights,33,5.1,True,False,False,True,0.2414,image_ambiguous,False
highbush-blueberry__blueberry-leaf-rust__twig-canker,Highbush Blueberry,Blueberry Leaf Rust,Twig Canker,30,5.1,True,False,False,True,0.0769,image_decisive,False
phlox__downy-mildew__powdery-mildew,Phlox,Downy Mildew,Powdery Mildew,48,5.1,True,True,True,True,0.0682,image_decisive,False
tomato__late-blight__rhizopus-soft-rots,Tomato,Late Blight,Rhizopus Soft Rots,134,5.0,True,False,False,False,,,False
melon__monosporascus-root-rot__sour-rot,Melon,Monosporascus Root Rot,Sour Rot,68,5.0,True,False,False,True,0.0,image_decisive,False
oak__coryneum-twig-blight__oak-wilt,Oak,Coryneum Twig Blight,Oak Wilt,35,5.0,True,False,False,True,0.0,image_decisive,False
oak__leaf-spot__oak-wilt,Oak,Leaf Spot,Oak Wilt,36,5.0,True,True,True,True,0.0,image_decisive,False
spinach__cladosporium-leaf-spot__white-rust,Spinach,Cladosporium Leaf Spot,White Rust,28,5.0,True,False,False,True,0.0476,image_decisive,False
spinach__downy-mildew__white-rust,Spinach,Downy Mildew,White Rust,56,5.0,True,True,True,True,0.0714,image_decisive,False
wheat__parastagonospora-nodorum__powdery-mildew,Wheat,Parastagonospora Nodorum,Powdery Mildew,58,5.0,True,False,False,True,0.0667,image_decisive,False
wheat__parastagonospora-nodorum__tan-spot,Wheat,Parastagonospora Nodorum,Tan Spot,37,5.0,True,True,True,True,0.0515,image_decisive,False
wheat__parastagonospora-nodorum__wheat-leaf-rust,Wheat,Parastagonospora Nodorum,Wheat Leaf Rust,43,5.0,True,False,False,True,0.0785,image_decisive,False
wheat__parastagonospora-nodorum__wheat-stem-rust,Wheat,Parastagonospora Nodorum,Wheat Stem Rust,32,5.0,True,False,False,True,0.1,image_decisive,False
hydrangea__cercospora-fungi__gray-molds,Hydrangea,Cercospora Fungi,Gray Molds,29,5.0,True,False,False,True,0.0455,image_decisive,False
plum-and-cherry__blumeriella-leaf-spot-of-cherry-and-plum__phloeosporella-fungus,Plum and Cherry,Blumeriella Leaf Spot Of Cherry And Plum,Phloeosporella Fungus,41,5.0,True,True,True,True,0.1176,image_decisive,False
plum-and-cherry__brown-rots__phloeosporella-fungus,Plum and Cherry,Brown Rots,Phloeosporella Fungus,38,5.0,True,False,False,True,0.0714,image_decisive,False
soybean__cercospora-blight__frogeye-leaf-spot,Soybean,Cercospora Blight,Frogeye Leaf Spot,77,4.5,True,True,True,True,0.0,image_decisive,False
tomato__early-blight__southern-blight,Tomato,Early Blight,Southern Blight,84,4.4,True,False,False,True,0.0265,image_decisive,False
tomato__southern-blight__tomato-leaf-mould,Tomato,Southern Blight,Tomato Leaf Mould,75,4.4,True,False,False,True,0.0267,image_decisive,False
soybean__cercospora-blight__root-and-stem-rot,Soybean,Cercospora Blight,Root And Stem Rot,70,4.4,True,False,False,True,0.0,image_decisive,False
soybean__root-and-stem-rot__sclerotinia-timber-rot,Soybean,Root And Stem Rot,Sclerotinia Timber Rot,75,4.4,True,True,True,False,,,False
wheat__barley-yellow-dwarf-virus__wheat-streak-mosaic-virus,Wheat,Barley Yellow Dwarf Virus,Wheat Streak Mosaic Virus,37,4.4,True,True,True,True,0.2286,image_ambiguous,False
wheat__fusarium-graminearum-schwabe__loose-smut-of-wheat-or-barley,Wheat,Fusarium Graminearum Schwabe,Loose Smut Of Wheat Or Barley,54,4.4,True,False,False,True,0.129,image_decisive,False
wheat__loose-smut-of-wheat-or-barley__wheat-leaf-rust,Wheat,Loose Smut Of Wheat Or Barley,Wheat Leaf Rust,47,4.4,True,False,False,True,0.1708,image_decisive,False
tomato__early-blight__sclerotinia-timber-rot,Tomato,Early Blight,Sclerotinia Timber Rot,67,4.3,True,False,False,True,0.0689,image_decisive,False
tomato__gray-mold__southern-blight,Tomato,Gray Mold,Southern Blight,58,4.3,True,False,False,True,0.0512,image_decisive,False
tomato__late-blight__southern-blight,Tomato,Late Blight,Southern Blight,155,4.3,True,False,False,True,0.0172,image_decisive,False
pepper__phytophthora-blight__southern-blight,Pepper,Phytophthora Blight,Southern Blight,118,4.3,True,False,False,True,0.1091,image_decisive,False
soybean__cercospora-blight__genus-diaporthe,Soybean,Cercospora Blight,Genus Diaporthe,66,4.3,True,False,False,True,0.025,image_decisive,False
soybean__cercospora-blight__sclerotinia-timber-rot,Soybean,Cercospora Blight,Sclerotinia Timber Rot,113,4.3,True,False,False,True,0.0213,image_decisive,False
